Time_window,Brain_region,Model_type,Correlation,
5,Ventral,ResNet_SUP,0.12428,e11
5,Ventral,ResNet_SUP,0.03317,e12
5,Ventral,ResNet_SUP,0.04593,e24
5,Ventral,ResNet_SUP,0.11646,e34
5,Ventral,ResNet_SUP,0.0311,e100
5,Ventral,ResNet_SUP,0.01829,e44
5,Ventral,ResNet_SUP,0,e39
5,Ventral,ResNet_UNSUP,0.00952,e85
5,Ventral,ResNet_UNSUP,0.06632,e64
5,Ventral,ResNet_UNSUP,0.04471,e2
5,Ventral,ResNet_UNSUP,0.07774,e9
5,Ventral,ResNet_UNSUP,0.11279,e10
5,Ventral,ResNet_UNSUP,0.06191,e11
5,Ventral,ResNet_UNSUP,0.02723,e12
5,Ventral,ResNet_UNSUP,0.0352,e24
5,Ventral,ResNet_UNSUP,0.05854,e34
5,Ventral,ResNet_UNSUP,0.0251,e100
5,Ventral,ResNet_UNSUP,0.01755,e44
5,Ventral,ResNet_UNSUP,0,e39
5,Ventral,ResNet_RL,0.00598,e85
5,Ventral,ResNet_RL,0.04273,e64
5,Ventral,ResNet_RL,0.02837,e2
5,Ventral,ResNet_RL,0.07674,e9
5,Ventral,ResNet_RL,0.1078,e10
5,Ventral,ResNet_RL,0.04965,e11
5,Ventral,ResNet_RL,0.00798,e12
5,Ventral,ResNet_RL,0.01457,e24
5,Ventral,ResNet_RL,0.04334,e34
5,Ventral,ResNet_RL,0.01992,e100
5,Ventral,ResNet_RL,0.01963,e44
5,Ventral,ResNet_RL,0,e39
6,Lateral,VIB_SUP,0.00874,e90
6,Lateral,VIB_SUP,0.00988,e69
6,Lateral,VIB_SUP,0.00357,e70
6,Lateral,VIB_SUP,0.04711,e53
6,Lateral,VIB_SUP,0.00695,e60
6,Lateral,VIB_SUP,0.02454,e61
6,Lateral,VIB_SUP,0.03693,e62
6,Lateral,VIB_SUP,0,e8
6,Lateral,VIB_UNSUP,0.00978,e90
6,Lateral,VIB_UNSUP,0.00685,e69
6,Lateral,VIB_UNSUP,0.00164,e70
6,Lateral,VIB_UNSUP,0.0423,e53
6,Lateral,VIB_UNSUP,0.00768,e60
